,/'DataLog'/'Speed',/'DataLog'/'FrontBPS',/'DataLog'/'RearBPS',/'DataLog'/'Active_Regen_Flag ',/'DataLog'/'RegenStatus',/'DataLog'/'Regen_Flag',/'DataLog'/'Regen_Limit',/'DataLog'/'Rear_Bps_Value',/'DataLog'/'Front_BPS_Value',/'DataLog'/'Throttle',/'DataLog'/'Torque_Act',/'DataLog'/'Kalman_Filter_SOC',/'DataLog'/'STA_BrakeStatus ',/'DataLog'/'Vehicle_Speed',/'DataLog'/'Throttle(%)'
0.39,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.41000000000000003,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.43,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.44,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.46,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.47000000000000003,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.48,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.51,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.52,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.53,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.54,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.58,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.61,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.62,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.64,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
0.65,0.0,7.2,14.5,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,93.0,1.0,1.0,0.0
